bit,correlation
0,0.5234
1,0.4609
2,0.4648
3,0.5000
4,0.4609
5,0.5039
6,0.5000
7,0.5371
8,0.5117
9,0.5352
10,0.4766
11,0.4863
12,0.4961
13,0.4844
14,0.5039
15,0.5000
16,0.4766
17,0.4961
18,0.4883
19,0.4766
20,0.5254
21,0.5020
22,0.4844
23,0.4844
24,0.4727
25,0.4980
26,0.4824
27,0.4883
28,0.4922
29,0.5117
30,0.4922
31,0.5215
32,0.4727
33,0.5117
34,0.4395
35,0.5000
36,0.4863
37,0.4883
38,0.5117
39,0.5020
40,0.4648
41,0.4785
42,0.5039
43,0.5645
44,0.5469
45,0.5000
46,0.4707
47,0.5039
48,0.5312
49,0.5215
50,0.4844
51,0.4902
52,0.4727
53,0.5312
54,0.4922
55,0.5234
56,0.5020
57,0.4785
58,0.5078
59,0.4746
60,0.4922
61,0.5020
62,0.5234
63,0.4922
64,0.4922
65,0.5078
66,0.5469
67,0.5352
68,0.4648
69,0.5605
70,0.5273
71,0.4922
72,0.4863
73,0.4336
74,0.5078
75,0.5156
76,0.5020
77,0.5254
78,0.4844
79,0.4453
80,0.4707
81,0.5078
82,0.5117
83,0.5117
84,0.4902
85,0.4746
86,0.4902
87,0.5312
88,0.4980
89,0.5176
90,0.5000
91,0.5293
92,0.4805
93,0.5098
94,0.4941
95,0.4766
96,0.4824
97,0.4863
98,0.5215
99,0.4023
100,0.5254
101,0.5176
102,0.5059
103,0.5273
104,0.4961
105,0.4902
106,0.4629
107,0.5156
108,0.4902
109,0.5020
110,0.4902
111,0.4883
112,0.5020
113,0.5215
114,0.5234
115,0.4668
116,0.4902
117,0.5156
118,0.4902
119,0.5215
120,0.4805
121,0.5117
122,0.5234
123,0.5078
124,0.4922
125,0.5215
126,0.4531
127,0.5352
128,0.4785
129,0.4980
130,0.5137
131,0.4863
132,0.5332
133,0.5039
134,0.4746
135,0.5039
136,0.5000
137,0.5215
138,0.4902
139,0.5039
140,0.4922
141,0.4785
142,0.5117
143,0.4863
144,0.5312
145,0.4883
146,0.5332
147,0.4961
148,0.5273
149,0.5078
150,0.5117
151,0.4844
152,0.4746
153,0.4980
154,0.4824
155,0.4590
156,0.4961
157,0.4805
158,0.5332
159,0.4980
160,0.4805
161,0.4824
162,0.4805
163,0.4902
164,0.5000
165,0.5195
166,0.5117
167,0.4922
168,0.4629
169,0.5215
170,0.4883
171,0.5156
172,0.4922
173,0.5020
174,0.4902
175,0.5176
176,0.5098
177,0.4980
178,0.4961
179,0.5020
180,0.4980
181,0.5117
182,0.5195
183,0.5078
184,0.4922
185,0.5215
186,0.4746
187,0.4883
188,0.5273
189,0.5234
190,0.4746
191,0.4922
192,0.5176
193,0.5039
194,0.5195
195,0.4863
196,0.5176
197,0.5156
198,0.4551
199,0.4160
200,0.4844
201,0.5215
202,0.4902
203,0.5156
204,0.5215
205,0.4688
206,0.5488
207,0.4902
208,0.5215
209,0.4297
210,0.4883
211,0.5059
212,0.4668
213,0.4961
214,0.4883
215,0.4473
216,0.5254
217,0.5020
218,0.5254
219,0.4941
220,0.5215
221,0.5000
222,0.4570
223,0.5176
224,0.5195
225,0.5117
226,0.5000
227,0.5098
228,0.5371
229,0.5332
230,0.4902
231,0.4902
232,0.4785
233,0.5059
234,0.4766
235,0.4883
236,0.5254
237,0.5059
238,0.5000
239,0.5020
240,0.4980
241,0.4961
242,0.4883
243,0.5098
244,0.5176
245,0.5176
246,0.5098
247,0.4766
248,0.5059
249,0.5059
250,0.5234
251,0.5156
252,0.5215
253,0.4258
254,0.5195
255,0.4863
256,0.5176
257,0.5020
258,0.5195
259,0.5137
260,0.5156
261,0.4902
262,0.5039
263,0.4863
264,0.4863
265,0.5312
266,0.5391
267,0.5176
268,0.4688
269,0.5234
270,0.5156
271,0.5020
272,0.5117
273,0.4961
274,0.4727
275,0.4980
276,0.5098
277,0.4766
278,0.4941
279,0.5254
280,0.5078
281,0.4629
282,0.4434
283,0.5137
284,0.5195
285,0.5117
286,0.5312
287,0.5039
288,0.5098
289,0.5273
290,0.5059
291,0.5312
292,0.4961
293,0.5098
294,0.5293
295,0.4863
296,0.5234
297,0.5352
298,0.5078
299,0.4961
